Short median latency vs. long:short request ratio,50% latency of SHORT requests (ms)
Prevalence of long requests (%),baseline,baseline+libgotcha,baseline+libturquoise
0,1.1892857142857142,1.2135714285714287,1.242857142857143
0.2,1.185,1.212142857142857,1.2557142857142858
0.4,1.170,1.200,1.257857142857143
0.6,1.1735714285714287,1.2135714285714287,1.252142857142857
0.8,1.1814285714285713,1.1892857142857142,1.2557142857142858
1,1.1685714285714287,1.200142857142857,1.2635714285714287
1.2,1.1785714285714287,1.2192857142857142,1.275
1.4,1.1614285714285713,1.1285714285714287,1.2714285714285713
1.6,1.185,1.227142857142857,1.2814285714285713
1.8,1.159857142857143,1.2300714285714287,1.2907142857142858
2,1.1807142857142858,1.5679285714285713,1.317142857142857
