Short 75% tail latency vs. long:short request ratio,75% latency of SHORT requests (μs)
Prevalence of long requests (%),baseline,overhead,preempt
0,1217.857142857143,1236.4285714285713,1267.142857142857
0.2,1221.4285714285713,1243.5714285714287,1292.142857142857
0.4,1232.857142857143,1501.4285714285713,1309.2857142857142
0.6,1316.4285714285713,2469.285714285714,1315
0.8,1905,4673.571428571428,1609.2857142857142
1,3042.1428571428573,10553.57142857143,1887.142857142857
1.2,1467.857142857143,9978.57142857143,2656.4285714285716
1.4,5021.428571428572,11029.285714285714,2500
1.6,5270,14701.42857142857,2672.1428571428573
1.8,8148.571428571428,15980.714285714286,2670.714285714286
2,5292.857142857143,17796.428571428572,2694.285714285714
