Short 99% tail latency vs. long:short request ratio,99% latency of SHORT requests (ms)
Prevalence of long requests (%),baseline,baseline+libgotcha,baseline+libturquoise
0,2.3764285714285716,1.912142857142857,1.9064285714285713
0.2,52.875,53.40142857142857,3.290714285714286
0.4,54.902142857142855,55.61571428571428,3.864285714285714
0.6,55.80071428571428,56.917857142857145,4.461428571428572
0.8,56.327142857142855,57.02071428571428,5.077857142857143
1,56.99071428571428,58.290,5.281428571428572
1.2,56.662857142857145,58.30857142857143,6.702857142857143
1.4,57.372857142857145,58.232142857142855,6.362857142857143
1.6,57.857142857142855,58.432857142857145,6.847857142857143
1.8,58.017142857142855,58.34857142857143,7.237857142857143
2,58.08928571428572,58.382142857142855,7.527857142857143
