Throughput vs. long:short request ratio,Throughput of ALL requests (reqs/s)
Prevalence of long requests (%),baseline,baseline+libgotcha,baseline+libturquoise
0,1732.680714285714,1661.560714285714,1732.734285714286
0.2,1445.3678571428572,1343.2378571428576,1441.1371428571426
0.4,1248.0321428571428,1143.3228571428572,1249.1271428571429
0.6,1090.0621428571426,903.1542857142857,1118.4449999999997
0.8,959.5728571428572,875.1435714285715,1000.1107142857143
1,821.7364285714286,657.5464285714286,906.1371428571427
1.2,818.6764285714286,630.1235714285715,783.1292857142856
1.4,714.2278571428573,600.3107142857143,762.6107142857144
1.6,648.8328571428572,496.14214285714286,704.4421428571428
1.8,588.3907142857144,446.39928571428567,659.8407142857142
2,589.1871428571429,417.3392857142857,617.5821428571429
